door_id,door_name,location,fire_class,security_class,lock_type,automation_model,wall_type,building_code,floor_number,wing_section,width_mm,height_mm,thickness_mm,material,frame_type,hinges_count,door_swing,has_closer,has_panic_bar,has_visual_alarm,has_acoustic_alarm,installation_date,last_maintenance_date,maintenance_interval_months,warranty_expiry_date,manufacturer,model_number,batch_number,serial_number,weight_kg,cost_eur,status,notes
D-011,Medical Cabinet Room,Building B - Floor 2,EI30,HIGH,electronic,Model-E6,interior_drywall,BLDB,2,West,800,2100,40,steel,steel_frame,2,single,true,false,true,false,2022-03-15,2024-01-25,12,2027-03-15,Assa Abloy,AD900,BATCH-011,SN-002-003,75.0,3500.00,operational,Secure storage
D-012,Warehouse Storage,Building D - Ground,EI60,LOW,mortise,Model-M8,industrial_steel,BLDD,0,South,2200,2400,50,steel,steel_reinforced,4,both,true,false,false,false,2018-11-10,2023-10-20,24,2024-11-10,Assa Abloy,AD500,BATCH-012,SN-004-001,130.0,2200.00,operational,Industrial use
D-013,Executive Office,Building A - Floor 4,EI30,MEDIUM,electronic,Model-E7,interior_drywall,BLDA,4,North,1000,2100,35,wood_veneered,wood_frame,2,single,false,false,false,false,2021-02-05,2024-02-01,36,2026-02-05,Dormakaba,MLD600,BATCH-013,SN-001-007,58.0,1500.00,operational,Private office
D-014,Break Room Access,Building B - Floor 1,EI30,LOW,mortise,Model-M9,interior_drywall,BLDB,1,Central,1100,2100,35,wood_composite,wood_frame,2,single,false,false,false,false,2020-05-20,2023-11-01,36,2025-05-20,Dormakaba,MD200,BATCH-014,SN-002-004,52.0,650.00,operational,Common area
D-015,Pharmaceutical Storage,Building C - Floor 1,EI60,HIGH,electronic,Model-E8,interior_concrete,BLDC,1,East,800,2100,45,steel,steel_frame,2,single,true,false,true,true,2022-01-10,2024-01-31,12,2027-01-10,Assa Abloy,ADX500,BATCH-015,SN-003-003,80.0,4000.00,operational,Controlled environment
D-016,Archive Room,Building A - Ground,EI90,LOW,mortise,Model-M10,interior_concrete,BLDA,0,South,1000,2100,45,steel,steel_frame,3,single,true,false,false,false,2019-04-15,2023-05-10,24,2024-04-15,Assa Abloy,AD450,BATCH-016,SN-001-008,72.0,1700.00,operational,Document storage
D-017,IT Equipment Room,Building C - Floor 1,EI60,VERY_HIGH,electronic,Model-E9,interior_concrete,BLDC,1,West,900,2100,45,steel,steel_frame,3,single,true,false,true,false,2022-06-20,2024-02-05,12,2027-06-20,Assa Abloy,ADY600,BATCH-017,SN-003-004,85.0,4800.00,operational,High security
D-018,Presentation Room,Building A - Floor 3,EI30,LOW,mortise,Model-M11,interior_drywall,BLDA,3,North,1300,2100,35,glass_aluminium,aluminium_frame,2,both,false,false,false,false,2021-03-25,2024-01-15,36,2026-03-25,Dormakaba,MLD700,BATCH-018,SN-001-009,65.0,1100.00,operational,Modern design
D-019,Janitor Closet,Building B - Ground,EI30,LOW,mortise,Model-M12,interior_drywall,BLDB,0,Central,600,2000,35,wood_composite,wood_frame,1,single,false,false,false,false,2020-07-10,2023-09-01,36,2025-07-10,Dormakaba,MD250,BATCH-019,SN-002-005,40.0,450.00,operational,Utility closet
D-020,Electrical Panel Room,Building A - Ground,EI60,MEDIUM,mortise,Model-M13,interior_concrete,BLDA,0,East,900,2100,45,steel,steel_frame,2,single,true,false,false,false,2019-08-05,2023-07-15,24,2024-08-05,Assa Abloy,AD550,BATCH-020,SN-001-010,75.0,1900.00,operational,Critical infrastructure
D-021,Learning Lab 1,Building B - Floor 2,EI30,LOW,mortise,Model-M14,interior_drywall,BLDB,2,West,1100,2100,35,wood_veneered,wood_frame,2,single,false,false,false,false,2021-09-15,2024-01-10,36,2026-09-15,Dormakaba,MD300,BATCH-021,SN-002-006,55.0,700.00,operational,Educational space
D-022,Canteen Serving,Building C - Ground,EI30,LOW,mortise,Model-M15,interior_drywall,BLDC,0,Central,1500,2100,35,stainless_steel,steel_frame,2,both,false,false,false,false,2020-02-10,2023-12-20,36,2025-02-10,Dormakaba,MD350,BATCH-022,SN-003-005,65.0,850.00,operational,Food service
D-023,Employee Lockers,Building A - Floor 1,EI30,LOW,mortise,Model-M16,interior_drywall,BLDA,1,South,1200,2100,35,wood_composite,wood_frame,2,single,false,false,false,false,2021-04-20,2024-01-05,36,2026-04-20,Dormakaba,MD400,BATCH-023,SN-001-011,58.0,650.00,operational,Storage area
D-024,Shipping Dock,Building D - Ground,EI90,LOW,mortise,Model-M17,industrial_steel,BLDD,0,North,2100,2400,50,steel,steel_reinforced,4,both,true,false,false,false,2018-10-01,2023-08-30,24,2024-10-01,Assa Abloy,AD700,BATCH-024,SN-004-002,125.0,2100.00,operational,High traffic industrial
D-025,Quarantine Zone,Building C - Floor 1,EI60,HIGH,electronic,Model-E10,interior_concrete,BLDC,1,East,900,2100,45,steel,steel_frame,2,single,true,false,true,false,2023-01-15,2024-02-10,12,2028-01-15,Assa Abloy,ADZ700,BATCH-025,SN-003-006,82.0,4200.00,operational,Isolation room
D-026,Quality Control Lab,Building B - Floor 2,EI30,MEDIUM,electronic,Model-E11,interior_drywall,BLDB,2,East,1000,2100,40,glass_aluminium,aluminium_frame,2,single,false,false,false,false,2021-11-10,2024-01-20,36,2026-11-10,Dormakaba,MLD800,BATCH-026,SN-002-007,60.0,1300.00,operational,Scientific space
D-027,Maintenance Workshop,Building D - Ground,EI60,LOW,mortise,Model-M18,industrial_concrete,BLDD,0,West,1400,2300,50,steel,steel_frame,3,single,true,false,false,false,2017-09-20,2023-04-01,24,2024-09-20,Assa Abloy,AD800,BATCH-027,SN-004-003,105.0,2400.00,operational,Heavy equipment
D-028,Visitor Reception,Building A - Ground,EI30,LOW,mortise,Model-M19,interior_drywall,BLDA,0,North,1100,2100,35,wood_veneered,wood_frame,2,single,false,false,false,false,2020-12-15,2023-10-10,36,2025-12-15,Dormakaba,MD450,BATCH-028,SN-001-012,54.0,750.00,operational,Public area
D-029,Data Center Entry,Building C - Floor 1,EI120,VERY_HIGH,electronic,Model-E12,interior_concrete,BLDC,1,South,800,2100,50,steel_reinforced,steel_frame,3,single,true,false,true,false,2022-08-01,2024-02-15,12,2027-08-01,Assa Abloy,ADB500,BATCH-029,SN-003-007,90.0,5200.00,operational,Ultra-secure
D-030,Library Main Entrance,Building B - Ground,EI30,LOW,mortise,Model-M20,interior_drywall,BLDB,0,South,1200,2200,35,wood_composite,wood_frame,2,both,false,false,false,false,2019-10-05,2023-09-15,36,2024-10-05,Dormakaba,MD500,BATCH-030,SN-002-008,58.0,800.00,operational,Public building
D-031,Research Lab 1,Building C - Floor 2,EI30,MEDIUM,electronic,Model-E13,interior_drywall,BLDC,2,North,1000,2100,40,glass_aluminium,aluminium_frame,2,single,false,false,false,false,2022-05-10,2024-01-25,36,2027-05-10,Dormakaba,MLD900,BATCH-031,SN-003-008,65.0,1400.00,operational,Lab environment
D-032,Hazmat Storage,Building D - Ground,EI120,HIGH,electronic,Model-E14,industrial_steel,BLDD,0,East,1000,2100,50,steel,steel_frame,3,single,true,false,true,true,2021-12-20,2024-02-01,12,2026-12-20,Assa Abloy,ADC600,BATCH-032,SN-004-004,95.0,4600.00,operational,Chemical storage
D-033,Parking Gate Entry,Building A - Ground,EI30,MEDIUM,electronic,Model-E15,exterior_concrete,BLDA,0,South,2500,2200,50,steel,steel_reinforced,4,single,true,false,false,false,2020-03-10,2023-11-01,24,2025-03-10,Assa Abloy,AD1000,BATCH-033,SN-001-013,150.0,3500.00,operational,Vehicle entry
D-034,Fitness Center,Building B - Ground,EI30,LOW,mortise,Model-M21,interior_drywall,BLDB,0,North,1300,2200,35,wood_composite,wood_frame,2,both,false,false,false,false,2021-06-15,2024-01-10,36,2026-06-15,Dormakaba,MD550,BATCH-034,SN-002-009,68.0,900.00,operational,Recreation area
D-035,Fire Command Center,Building A - Ground,EI60,HIGH,electronic,Model-E16,interior_concrete,BLDA,0,Central,900,2100,45,steel,steel_frame,3,single,true,false,true,false,2021-01-20,2024-02-05,12,2026-01-20,Assa Abloy,ADD700,BATCH-035,SN-001-014,80.0,4500.00,operational,Safety critical
D-036,Stairwell Door 3-4,Building A - Floor 3,EI30,LOW,mortise,Model-M22,interior_concrete,BLDA,3,Central,1000,2200,40,steel,steel_frame,2,single,true,false,false,false,2020-11-05,2023-10-30,24,2025-11-05,Assa Abloy,AD250,BATCH-036,SN-001-015,70.0,1400.00,operational,Between floors
D-037,Chemical Storage Lab,Building B - Floor 1,EI90,HIGH,electronic,Model-E17,interior_concrete,BLDB,1,West,900,2100,45,steel,steel_frame,2,single,true,false,true,false,2022-04-01,2024-01-31,12,2027-04-01,Assa Abloy,ADE800,BATCH-037,SN-002-010,78.0,4300.00,operational,Hazmat environment
D-038,Security Office,Building A - Ground,EI30,VERY_HIGH,electronic,Model-E18,interior_drywall,BLDA,0,Central,1000,2100,40,steel,steel_frame,2,single,true,false,true,false,2021-07-15,2024-01-20,12,2026-07-15,Assa Abloy,ADF600,BATCH-038,SN-001-016,75.0,4000.00,operational,Control center
D-039,Lobby Corridor 2,Building C - Ground,EI30,LOW,mortise,Model-M23,interior_drywall,BLDC,0,East,1100,2100,35,wood_veneered,wood_frame,2,single,false,false,false,false,2020-08-20,2023-12-01,36,2025-08-20,Dormakaba,MD600,BATCH-039,SN-003-009,56.0,700.00,operational,Main corridor
D-040,Gender Neutral Toilet,Building A - Floor 1,EI30,LOW,mortise,Model-M24,interior_drywall,BLDA,1,South,800,2100,35,wood_composite,wood_frame,1,single,false,false,false,false,2022-02-10,2024-01-15,36,2027-02-10,Dormakaba,MD650,BATCH-040,SN-001-017,45.0,550.00,operational,Inclusive facility
